"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"160","Subject264",508.541666666667,106.329867770734,721.201402208135,295.881931125198,2,0,48
"161","Subject265",920.666666666667,378.991345173359,1678.64935701338,162.683976319949,2,2,48
"162","Subject266",357.979166666667,62.6854659537916,483.35009857425,232.608234759083,2,0,48
"163","Subject267",447.4375,107.855479792529,663.148459585058,231.726540414942,3,0,48
"164","Subject268",537.625,129.737480435637,797.099960871274,278.150039128726,2,0,48
"165","Subject269",445.416666666667,111.166509830081,667.749686326828,223.083647006505,1,0,48
"166","Subject27",534.791666666667,113.99028669581,762.772240058286,306.811093275047,1,0,48
"167","Subject270",506.291666666667,108.946787388475,724.185241443616,288.398091889717,1,0,48
"168","Subject271",596.416666666667,144.475107674605,885.366882015876,307.466451317457,3,0,48
"169","Subject272",529.875,189.674146669739,909.223293339478,150.526706660522,2,1,48
"170","Subject273",435.833333333333,94.2326982445038,624.298729822341,247.367936844326,1,1,48
"171","Subject275",418.916666666667,47.7479344917343,514.412535650135,323.420797683198,3,0,48
"172","Subject276",526.854166666667,118.61362082872,764.081408324106,289.626925009227,2,0,48
"173","Subject277",616.625,256.211317786124,1129.04763557225,104.202364427752,2,2,48
"174","Subject278",470.125,84.0900290089343,638.305058017869,301.944941982131,1,0,48
"175","Subject28",703.5,296.277328392081,1296.05465678416,110.945343215838,2,1,48
"176","Subject280",497.791666666667,129.25152097271,756.294708612086,239.288624721247,1,0,48
"177","Subject281",610.375,154.236572228398,918.848144456797,301.901855543203,2,0,48
"178","Subject282",439.520833333333,212.54876682809,864.618366989514,14.423299677153,1,0,48
"179","Subject283",501.520833333333,89.1188519310227,679.758537195379,323.283129471288,2,0,48
"180","Subject285",776.375,264.40367469362,1305.18234938724,247.567650612761,3,0,48
"181","Subject286",470.979166666667,74.3037153171299,619.586597300926,322.371736032407,3,1,48
"182","Subject287",420.625,74.5861275676108,569.797255135222,271.452744864778,2,0,48
"183","Subject289",482.729166666667,107.640405998612,698.009978663891,267.448354669442,2,0,48
"184","Subject29",850.895833333333,216.969871384606,1284.83557610255,416.956090564121,2,0,48
"185","Subject290",645.6875,211.211113127389,1068.10972625478,223.265273745222,2,0,48
"186","Subject291",380.0625,54.4095604279013,488.881620855803,271.243379144197,3,0,48
"187","Subject292",466.041666666667,60.6338709968013,587.309408660269,344.773924673064,4,0,48
"188","Subject293",415.229166666667,64.7585497791878,544.746266225042,285.712067108291,2,0,48
"189","Subject294",624,177.789619877456,979.579239754911,268.420760245089,2,0,48
"190","Subject295",444.3125,54.8798130734674,554.072126146935,334.552873853065,1,1,48
"191","Subject296",555.9375,148.442037724594,852.821575449188,259.053424550812,2,0,48
"192","Subject297",516.229166666667,175.538107590096,867.305381846858,165.152951486475,1,0,48
"193","Subject299",481.833333333333,141.585901049103,765.00513543154,198.661531235126,3,0,48
"194","Subject3",435.583333333333,122.381828948327,680.346991229987,190.819675436679,2,0,48
"195","Subject30",493.3125,139.866373348339,773.045246696679,213.579753303322,2,0,48
"196","Subject300",472.958333333333,64.5297089202588,602.017751173851,343.898915492816,3,0,48
"197","Subject301",423.604166666667,57.941547795972,539.487262258611,307.721071074723,2,0,48
"198","Subject302",519.208333333333,132.812771484912,784.833876303158,253.582790363509,3,0,48
"199","Subject303",472.291666666667,156.188096957501,784.667860581668,159.915472751665,1,0,48
"200","Subject304",528.541666666667,112.46880576188,753.479278190427,303.604055142906,3,0,48
"201","Subject305",412.520833333333,146.170985505148,704.862804343629,120.178862323038,3,0,48
"202","Subject306",570.125,115.611717178391,801.348434356781,338.901565643219,2,0,48
