"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"205","Subject149","negative",320.1875,26.8432952522599,387.29573813065,253.07926186935,0,0,"Subject149","neutral",330.5625,49.0794848519555,453.261212129889,207.863787870111,1,0,"Subject149","positive",336,43.0921493236684,443.730373309171,228.269626690829,0,0,"Subject149","suicide",344.3125,56.842142523542,486.417856308855,202.207143691145,1,0
"209","Subject15","negative",381.875,51.3431267714255,510.232816928564,253.517183071436,0,0,"Subject15","neutral",390.75,61.598160145684,544.74540036421,236.75459963579,0,0,"Subject15","positive",446.625,82.7009673462167,653.377418365542,239.872581634458,1,0,"Subject15","suicide",382.8125,56.2390359685038,523.41008992126,242.21491007874,1,0
"213","Subject151","negative",357.625,34.3567072539458,443.516768134865,271.733231865135,0,0,"Subject151","neutral",348.4375,58.5786863970164,494.884215992541,201.990784007459,1,0,"Subject151","positive",346.625,54.3444262704711,482.486065676178,210.763934323822,1,0,"Subject151","suicide",356.4375,67.2755217990417,524.626304497604,188.248695502396,1,0
"217","Subject152","negative",382.6875,118.765718257978,679.601795644944,85.7732043550558,1,0,"Subject152","neutral",440.375,136.435515904034,781.463789760086,99.2862102399142,1,0,"Subject152","positive",433.4,155.644650222413,822.511625556031,44.2883744439686,0,0,"Subject152","suicide",446.4375,194.535333123146,932.775832807865,-39.9008328078647,0,0
"221","Subject153","negative",308.4375,48.3679904482293,429.357476120573,187.517523879427,0,0,"Subject153","neutral",334.25,41.645327869202,438.363319673005,230.136680326995,0,0,"Subject153","positive",330.625,52.1266086882058,460.941521720515,200.308478279485,1,0,"Subject153","suicide",353.6875,71.6795821695411,532.886455423853,174.488544576147,0,0
"225","Subject154","negative",327.75,43.9667081843914,437.666770460978,217.833229539022,0,0,"Subject154","neutral",337.375,41.9555462024135,442.263865506034,232.486134493966,0,0,"Subject154","positive",378.625,114.081346290393,663.828365725983,93.4216342740174,0,0,"Subject154","suicide",335,75.2477389841198,523.1193474603,146.8806525397,0,0
"229","Subject155","negative",419.4375,225.701859023506,983.692147558766,-144.817147558766,1,0,"Subject155","neutral",376.875,73.0888728421319,559.59718210533,194.15281789467,0,0,"Subject155","positive",399.375,81.8835555326383,604.083888831596,194.666111168404,1,0,"Subject155","suicide",388.8125,94.3971883408964,624.805470852241,152.819529147759,1,0
"233","Subject156","negative",376.25,45.6734788106475,490.433697026619,262.066302973381,0,1,"Subject156","neutral",361.125,46.376538608798,477.066346521995,245.183653478005,0,0,"Subject156","positive",386.9375,99.3904547730817,635.413636932704,138.461363067296,1,0,"Subject156","suicide",376.625,52.1675186298908,507.043796574727,246.206203425273,1,0
"237","Subject157","negative",423.1875,88.4414825369483,644.291206342371,202.083793657629,0,0,"Subject157","neutral",434.666666666667,97.3753171032186,678.104959424713,191.22837390862,0,0,"Subject157","positive",423.4375,65.1162742075026,586.228185518756,260.646814481244,0,0,"Subject157","suicide",407.75,80.5708797684788,609.177199421197,206.322800578803,1,0
"241","Subject158","negative",643.375,358.980199082531,1540.82549770633,-254.075497706327,0,0,"Subject158","neutral",665.333333333333,404.09098456848,1675.56079475453,-344.894128087867,0,0,"Subject158","positive",709.6875,347.832281183523,1579.26820295881,-159.893202958807,0,0,"Subject158","suicide",616.9375,370.060259732565,1542.08814933141,-308.213149331412,1,0
"245","Subject159","negative",417.75,103.847071628016,677.36767907004,158.13232092996,0,0,"Subject159","neutral",391,55.5648679063898,529.912169765974,252.087830234026,0,0,"Subject159","positive",598.4,503.085192697133,1856.11298174283,-659.312981742832,1,0,"Subject159","suicide",421.1,150.334035475079,796.935088687697,45.2649113123032,0,0
"249","Subject16","negative",448.125,138.946932315903,795.492330789756,100.757669210244,1,0,"Subject16","neutral",404.125,113.622107590615,688.180268976538,120.069731023462,0,0,"Subject16","positive",457.9375,188.691094561102,929.665236402755,-13.7902364027546,1,0,"Subject16","suicide",406.375,113.357178863978,689.767947159946,122.982052840054,1,0
"253","Subject17","negative",373.5,55.6033572127919,512.50839303198,234.49160696802,0,0,"Subject17","neutral",372.6875,82.9664339758355,580.103584939589,165.271415060411,1,0,"Subject17","positive",345.3125,49.9008600460286,470.064650115071,220.560349884929,0,0,"Subject17","suicide",365.5,49.8517803092327,490.129450773082,240.870549226918,0,0
"257","Subject18","negative",459.352941176471,147.434809909009,827.939965948992,90.7659164039489,1,0,"Subject18","neutral",457.25,179.64050121679,906.351253041974,8.14874695802621,1,0,"Subject18","positive",469.689655172414,277.816756597412,1164.23154666594,-224.852236321115,1,0,"Subject18","suicide",454.904761904762,116.818194114575,746.950247191199,162.859276618325,0,0
