"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"263","Subject182","negative",341.25,9.7082439194738,365.520609798685,316.979390201315,0,0,"Subject181","neutral",878,571.670651103704,2307.17662775926,-551.176627759261,0,0,"Subject182","positive",329.25,9.94568583189046,354.114214579726,304.385785420274,0,0,"Subject181","suicide",452,60.1996677731696,602.499169432924,301.500830567076,0,0
"267","Subject183","negative",360,16.2480768092719,400.62019202318,319.37980797682,0,0,"Subject182","neutral",386.5,33.0100994646588,469.025248661647,303.974751338353,0,0,"Subject183","positive",378,54.8270006474912,515.067501618728,240.932498381272,0,0,"Subject182","suicide",375.25,59.4663770546012,523.915942636503,226.584057363497,0,0
"271","Subject184","negative",313.75,40.2191911073971,414.297977768493,213.202022231507,0,0,"Subject183","neutral",581.5,331.048334839491,1409.12083709873,-246.120837098728,0,0,"Subject184","positive",298.25,26.0432332862108,363.358083215527,233.141916784473,0,0,"Subject183","suicide",419,77.5757694128779,612.939423532195,225.060576467805,0,0
"275","Subject185","negative",363.5,82.6383688125558,570.09592203139,156.90407796861,0,0,"Subject184","neutral",308,20.7685659912603,359.921414978151,256.078585021849,0,0,"Subject186","positive",315,13.5154232884755,348.788558221189,281.211441778811,0,0,"Subject184","suicide",306,16.1864140562386,346.466035140597,265.533964859403,0,0
"278","Subject186","negative",343.25,45.3091234374123,456.522808593531,229.977191406469,0,0,"Subject185","neutral",424,NA,NA,NA,0,0,"Subject187","positive",384.75,32.4281256524847,465.820314131212,303.679685868788,0,0,"Subject185","suicide",421.5,47.3761543394987,539.940385848747,303.059614151253,0,0
"282","Subject187","negative",339,47.9305052480498,458.826263120125,219.173736879875,0,0,"Subject186","neutral",365.666666666667,24.3789526709687,426.614048344088,304.719284989245,0,0,"Subject188","positive",377.75,84.6221996090073,589.305499022518,166.194500977482,0,0,"Subject186","suicide",309.5,18.2665450117603,355.166362529401,263.833637470599,0,0
"286","Subject188","negative",330,40.9633982965281,432.40849574132,227.59150425868,0,0,"Subject187","neutral",365,109.395307638552,638.488269096379,91.5117309036211,0,0,"Subject189","positive",421.75,25.3689442691913,485.172360672978,358.327639327022,0,0,"Subject187","suicide",342.5,52.6909226843992,474.227306710998,210.772693289002,0,0
"290","Subject189","negative",424.75,29.1819007834194,497.704751958549,351.795248041451,0,0,"Subject188","neutral",367.5,51.1631377719024,495.407844429756,239.592155570244,0,0,"Subject19","positive",463.25,161.953439811159,868.133599527897,58.3664004721028,0,0,"Subject188","suicide",348,63.3035017462173,506.258754365543,189.741245634457,0,0
"294","Subject19","negative",403,90.4322951162913,629.080737790728,176.919262209272,0,0,"Subject189","neutral",408.75,39.634791114205,507.836977785513,309.663022214487,0,0,"Subject190","positive",563.75,65.2910152062799,726.9775380157,400.5224619843,0,0,"Subject189","suicide",430.25,69.5191820051608,604.047955012902,256.452044987098,0,0
"298","Subject190","negative",598.5,97.6268405716379,842.567101429095,354.432898570905,0,0,"Subject19","neutral",334.75,71.839520228539,514.348800571348,155.151199428652,0,0,"Subject191","positive",408.333333333333,17.925772879665,453.147765532496,363.518901134171,0,0,"Subject19","suicide",369,18.1659021245849,414.414755311462,323.585244688538,0,0
"305","Subject192","negative",437.5,55.8957362715023,577.239340678756,297.760659321244,0,0,"Subject190","neutral",605,52.0256347070045,735.064086767511,474.935913232489,0,0,"Subject192","positive",473.75,84.0530586395681,683.88264659892,263.61735340108,0,0,"Subject190","suicide",645.5,109.816513633728,920.041284084319,370.958715915681,0,0
"309","Subject194","negative",315.25,28.0757902827329,385.439475706832,245.060524293168,0,0,"Subject191","neutral",389,NA,NA,NA,0,0,"Subject194","positive",344,47.9791621435806,463.947905358952,224.052094641048,0,0,"Subject191","suicide",527,101.823376490863,781.558441227157,272.441558772843,0,0
"313","Subject196","negative",428.25,67.6233440955612,597.308360238903,259.191639761097,0,0,"Subject192","neutral",448.25,79.3993073017643,646.748268254411,249.751731745589,0,0,"Subject196","positive",698.5,432.765140308998,1780.41285077249,-383.412850772495,0,0,"Subject192","suicide",463.5,59.545500809605,612.363752024012,314.636247975988,0,0
"317","Subject197","negative",402.5,117.761057513368,696.902643783419,108.097356216581,0,0,"Subject194","neutral",398,62.5193303440357,554.298325860089,241.701674139911,0,0,"Subject197","positive",338.75,37.4466286867056,432.366571716764,245.133428283236,0,0,"Subject194","suicide",314.25,39.7523584206019,413.630896051505,214.869103948495,0,0
"321","Subject198","negative",374.25,54.7927914966923,511.231978741731,237.268021258269,0,0,"Subject196","neutral",407.25,37.7921949613938,501.730487403485,312.769512596515,0,0,"Subject198","positive",300.25,10.688779163216,326.97194790804,273.52805209196,0,0,"Subject196","suicide",388,53.8949595664257,522.737398916064,253.262601083936,0,0
"325","Subject199","negative",321,52.1344415909483,451.336103977371,190.663896022629,0,0,"Subject197","neutral",449,157.041395816517,841.603489541293,56.3965104587072,0,0,"Subject199","positive",362.25,16.8794747153656,404.448686788414,320.051313211586,0,0,"Subject197","suicide",421.333333333333,129.136878285536,744.175529047173,98.4911376194933,0,0
